Type,Other_Type,HP,Attack,Defense,Special_Attack,Special_Defense,Speed,Total,Generation,Legendary
91.0,32.0,60.0,130.0,80.0,60.0,60.0,70.0,460.0,3.0,0.0
115.0,492.0,60.0,60.0,60.0,35.0,35.0,30.0,,3.0,0.0
115.0,492.0,80.0,80.0,80.0,55.0,,90.0,,3.0,0.0
115.0,492.0,150.0,,100.0,,65.0,100.0,670.0,3.0,0.0
81.0,39.0,31.0,45.0,90.0,30.0,30.0,40.0,266.0,3.0,0.0
81.0,112.0,61.0,90.0,45.0,,50.0,160.0,456.0,3.0,0.0
81.0,26.0,1.0,90.0,45.0,30.0,30.0,40.0,236.0,3.0,0.0
115.0,492.0,64.0,51.0,23.0,51.0,23.0,,240.0,3.0,0.0
115.0,492.0,84.0,71.0,43.0,71.0,43.0,,360.0,3.0,0.0
115.0,492.0,104.0,91.0,63.0,91.0,73.0,68.0,490.0,3.0,0.0
42.0,492.0,72.0,60.0,30.0,20.0,30.0,25.0,,,0.0
42.0,492.0,144.0,120.0,,40.0,60.0,50.0,474.0,3.0,
115.0,41.0,50.0,20.0,40.0,20.0,40.0,20.0,190.0,3.0,0.0
,492.0,,45.0,135.0,45.0,90.0,30.0,375.0,3.0,0.0
115.0,492.0,50.0,45.0,45.0,35.0,35.0,50.0,260.0,3.0,0.0
115.0,492.0,70.0,,65.0,55.0,55.0,90.0,400.0,3.0,0.0
46.0,26.0,50.0,75.0,75.0,65.0,65.0,50.0,380.0,3.0,
46.0,26.0,,,125.0,85.0,115.0,20.0,480.0,3.0,0.0
,41.0,50.0,85.0,,55.0,55.0,,,3.0,0.0
36.0,41.0,50.0,105.0,125.0,55.0,95.0,50.0,480.0,3.0,0.0
36.0,15.0,50.0,70.0,100.0,40.0,40.0,30.0,330.0,3.0,0.0
36.0,15.0,,90.0,140.0,50.0,,40.0,,3.0,0.0
36.0,15.0,70.0,,180.0,60.0,60.0,50.0,530.0,,
36.0,492.0,70.0,140.0,,60.0,80.0,50.0,630.0,3.0,0.0
42.0,,30.0,,55.0,40.0,55.0,60.0,280.0,3.0,0.0
42.0,,60.0,60.0,75.0,60.0,75.0,80.0,410.0,3.0,0.0
42.0,40.0,60.0,100.0,,80.0,85.0,100.0,510.0,3.0,0.0
62.0,492.0,40.0,45.0,40.0,65.0,40.0,65.0,,3.0,0.0
,492.0,70.0,,60.0,105.0,60.0,105.0,475.0,3.0,0.0
62.0,492.0,,75.0,80.0,135.0,80.0,135.0,575.0,3.0,0.0
62.0,492.0,60.0,50.0,40.0,,75.0,95.0,405.0,3.0,0.0
62.0,492.0,,40.0,50.0,75.0,85.0,95.0,405.0,3.0,
81.0,,65.0,73.0,75.0,47.0,85.0,85.0,430.0,3.0,0.0
81.0,492.0,65.0,,75.0,73.0,85.0,85.0,430.0,3.0,0.0
91.0,38.0,50.0,60.0,45.0,100.0,80.0,65.0,400.0,3.0,0.0
41.0,492.0,70.0,43.0,53.0,43.0,53.0,40.0,302.0,3.0,0.0
41.0,,100.0,73.0,83.0,73.0,83.0,55.0,467.0,3.0,0.0
134.0,27.0,45.0,90.0,20.0,65.0,20.0,65.0,305.0,3.0,0.0
134.0,27.0,70.0,,40.0,95.0,40.0,95.0,460.0,3.0,0.0
134.0,27.0,70.0,140.0,70.0,110.0,65.0,105.0,560.0,3.0,
134.0,492.0,130.0,70.0,35.0,70.0,35.0,60.0,400.0,3.0,0.0
134.0,492.0,170.0,90.0,45.0,90.0,45.0,60.0,500.0,3.0,0.0
65.0,39.0,60.0,60.0,40.0,65.0,45.0,35.0,305.0,3.0,0.0
65.0,39.0,,100.0,70.0,105.0,75.0,,460.0,3.0,0.0
65.0,39.0,,,100.0,145.0,,20.0,560.0,3.0,0.0
65.0,492.0,70.0,85.0,140.0,85.0,,20.0,470.0,3.0,
81.0,492.0,60.0,25.0,35.0,70.0,80.0,60.0,330.0,,0.0
81.0,492.0,80.0,45.0,65.0,90.0,110.0,80.0,470.0,3.0,0.0
115.0,492.0,60.0,60.0,60.0,60.0,,60.0,,3.0,0.0
41.0,492.0,45.0,100.0,,45.0,,,290.0,3.0,
41.0,32.0,50.0,70.0,50.0,50.0,50.0,70.0,340.0,3.0,0.0
41.0,32.0,80.0,100.0,80.0,,80.0,100.0,520.0,3.0,0.0
91.0,492.0,50.0,85.0,40.0,85.0,40.0,,335.0,3.0,0.0
91.0,27.0,70.0,115.0,60.0,115.0,60.0,55.0,475.0,,0.0
,112.0,45.0,40.0,60.0,40.0,75.0,50.0,310.0,,0.0
41.0,112.0,,70.0,90.0,70.0,105.0,80.0,490.0,3.0,0.0
41.0,41.0,75.0,110.0,110.0,110.0,105.0,80.0,590.0,3.0,0.0
115.0,492.0,73.0,115.0,60.0,,60.0,,458.0,,0.0
41.0,492.0,73.0,100.0,60.0,100.0,60.0,,458.0,3.0,0.0
60.0,40.0,,55.0,65.0,95.0,85.0,70.0,460.0,3.0,0.0
60.0,,90.0,95.0,,55.0,,70.0,460.0,3.0,0.0
134.0,39.0,50.0,48.0,43.0,46.0,41.0,60.0,288.0,3.0,
134.0,39.0,110.0,78.0,73.0,76.0,71.0,60.0,468.0,3.0,0.0
134.0,492.0,43.0,80.0,65.0,50.0,35.0,35.0,308.0,3.0,0.0
134.0,27.0,63.0,120.0,85.0,90.0,55.0,55.0,468.0,3.0,0.0
41.0,40.0,,40.0,55.0,40.0,70.0,55.0,,3.0,0.0
41.0,40.0,60.0,70.0,,70.0,120.0,75.0,,3.0,
60.0,28.0,66.0,,77.0,61.0,,23.0,355.0,3.0,0.0
60.0,28.0,86.0,81.0,97.0,81.0,,43.0,495.0,3.0,0.0
60.0,9.0,,,,40.0,50.0,75.0,355.0,3.0,0.0
60.0,,,,100.0,70.0,80.0,,495.0,3.0,0.0
134.0,492.0,,15.0,20.0,10.0,55.0,80.0,200.0,,0.0
134.0,492.0,95.0,60.0,79.0,100.0,125.0,81.0,540.0,3.0,0.0
115.0,492.0,70.0,70.0,70.0,70.0,70.0,70.0,420.0,3.0,0.0
65.0,492.0,70.0,70.0,70.0,70.0,70.0,70.0,420.0,3.0,
134.0,492.0,70.0,70.0,,70.0,70.0,70.0,420.0,,0.0
37.0,492.0,,70.0,70.0,70.0,70.0,70.0,420.0,3.0,0.0
115.0,,60.0,90.0,70.0,60.0,120.0,40.0,440.0,,0.0
42.0,492.0,44.0,75.0,35.0,63.0,33.0,45.0,295.0,3.0,0.0
42.0,492.0,64.0,115.0,65.0,83.0,63.0,65.0,455.0,3.0,0.0
42.0,492.0,64.0,165.0,75.0,93.0,83.0,75.0,,3.0,0.0
42.0,492.0,20.0,40.0,90.0,,90.0,25.0,295.0,3.0,0.0
42.0,492.0,40.0,70.0,130.0,60.0,130.0,,455.0,3.0,
,,99.0,68.0,,72.0,87.0,51.0,460.0,3.0,0.0
81.0,,75.0,50.0,80.0,95.0,90.0,65.0,455.0,3.0,0.0
46.0,492.0,65.0,130.0,60.0,75.0,60.0,75.0,465.0,3.0,0.0
46.0,492.0,65.0,150.0,60.0,,60.0,,565.0,3.0,
81.0,492.0,,23.0,48.0,23.0,48.0,23.0,,3.0,0.0
37.0,492.0,50.0,50.0,50.0,50.0,50.0,50.0,300.0,3.0,0.0
37.0,492.0,80.0,80.0,80.0,80.0,80.0,80.0,480.0,3.0,
37.0,492.0,80.0,120.0,80.0,120.0,80.0,,580.0,3.0,0.0
37.0,20.0,70.0,40.0,50.0,55.0,50.0,25.0,290.0,,0.0
37.0,20.0,90.0,60.0,70.0,75.0,70.0,45.0,410.0,3.0,0.0
37.0,20.0,110.0,80.0,90.0,95.0,,65.0,530.0,3.0,0.0
134.0,492.0,35.0,64.0,85.0,,55.0,32.0,345.0,3.0,0.0
134.0,492.0,55.0,,105.0,94.0,,52.0,485.0,,0.0
134.0,492.0,55.0,84.0,105.0,114.0,75.0,52.0,485.0,3.0,0.0
134.0,15.0,100.0,90.0,130.0,45.0,65.0,55.0,485.0,3.0,0.0
134.0,,43.0,30.0,55.0,40.0,65.0,97.0,330.0,,0.0
41.0,492.0,45.0,75.0,60.0,40.0,30.0,50.0,300.0,3.0,0.0
41.0,492.0,65.0,95.0,100.0,,50.0,50.0,420.0,3.0,0.0
41.0,112.0,95.0,135.0,80.0,110.0,80.0,100.0,600.0,3.0,0.0
,112.0,95.0,145.0,130.0,120.0,90.0,120.0,700.0,3.0,0.0
36.0,40.0,40.0,55.0,80.0,,60.0,30.0,300.0,3.0,0.0
36.0,40.0,60.0,75.0,100.0,55.0,80.0,50.0,420.0,3.0,0.0
36.0,,80.0,135.0,130.0,95.0,90.0,70.0,600.0,3.0,0.0
36.0,40.0,80.0,145.0,150.0,105.0,110.0,,700.0,3.0,
60.0,492.0,80.0,100.0,200.0,,100.0,50.0,580.0,3.0,1.0
37.0,492.0,80.0,50.0,100.0,,200.0,50.0,580.0,,1.0
36.0,492.0,80.0,75.0,150.0,75.0,150.0,50.0,580.0,3.0,1.0
,40.0,80.0,80.0,90.0,110.0,130.0,110.0,600.0,3.0,1.0
41.0,40.0,80.0,100.0,120.0,140.0,150.0,,700.0,3.0,1.0
41.0,40.0,80.0,90.0,80.0,130.0,110.0,110.0,600.0,3.0,1.0
41.0,40.0,80.0,130.0,100.0,160.0,120.0,110.0,700.0,3.0,
,,100.0,100.0,90.0,,140.0,90.0,670.0,3.0,1.0
134.0,492.0,100.0,150.0,90.0,180.0,160.0,90.0,770.0,3.0,1.0
,492.0,100.0,150.0,140.0,,90.0,90.0,670.0,3.0,1.0
41.0,17.0,100.0,,160.0,150.0,90.0,90.0,770.0,3.0,1.0
41.0,112.0,105.0,150.0,90.0,150.0,90.0,95.0,680.0,3.0,1.0
,112.0,,,100.0,180.0,100.0,115.0,,3.0,1.0
36.0,40.0,100.0,100.0,100.0,100.0,100.0,,600.0,3.0,1.0
81.0,492.0,50.0,150.0,50.0,150.0,50.0,150.0,600.0,3.0,1.0
81.0,492.0,50.0,180.0,20.0,180.0,20.0,150.0,600.0,3.0,1.0
81.0,492.0,50.0,70.0,160.0,70.0,,90.0,,,1.0
81.0,492.0,50.0,95.0,90.0,95.0,90.0,180.0,600.0,3.0,1.0
91.0,492.0,55.0,68.0,64.0,45.0,55.0,31.0,318.0,4.0,0.0
91.0,492.0,75.0,89.0,85.0,55.0,65.0,36.0,405.0,4.0,0.0
91.0,39.0,95.0,109.0,105.0,75.0,85.0,56.0,525.0,4.0,0.0
65.0,492.0,44.0,58.0,44.0,58.0,44.0,61.0,309.0,4.0,0.0
65.0,32.0,64.0,78.0,52.0,78.0,52.0,81.0,405.0,4.0,
65.0,32.0,76.0,104.0,71.0,,71.0,108.0,534.0,,
134.0,492.0,53.0,51.0,53.0,61.0,56.0,40.0,314.0,4.0,0.0
134.0,492.0,64.0,66.0,68.0,,76.0,50.0,405.0,4.0,0.0
134.0,35.0,84.0,86.0,88.0,111.0,101.0,60.0,530.0,,0.0
115.0,112.0,40.0,55.0,30.0,,30.0,60.0,245.0,4.0,0.0
115.0,112.0,55.0,75.0,50.0,40.0,40.0,80.0,340.0,4.0,0.0
115.0,112.0,85.0,120.0,,50.0,60.0,100.0,485.0,,0.0
115.0,492.0,59.0,45.0,40.0,35.0,,31.0,250.0,4.0,0.0
115.0,20.0,79.0,85.0,,55.0,60.0,71.0,410.0,4.0,
81.0,492.0,37.0,25.0,41.0,25.0,,,194.0,4.0,0.0
81.0,492.0,77.0,85.0,51.0,,51.0,65.0,384.0,4.0,
62.0,492.0,45.0,,34.0,40.0,34.0,45.0,263.0,4.0,0.0
62.0,492.0,60.0,85.0,49.0,60.0,49.0,,363.0,4.0,0.0
62.0,492.0,80.0,120.0,79.0,,79.0,70.0,523.0,4.0,0.0
91.0,38.0,40.0,30.0,35.0,50.0,70.0,55.0,,4.0,0.0
,38.0,60.0,70.0,65.0,125.0,105.0,90.0,515.0,4.0,0.0
60.0,492.0,67.0,125.0,40.0,30.0,30.0,58.0,350.0,4.0,
60.0,,,,60.0,65.0,50.0,58.0,495.0,4.0,0.0
60.0,35.0,30.0,42.0,118.0,42.0,88.0,30.0,350.0,4.0,0.0
60.0,,60.0,52.0,,47.0,138.0,,495.0,4.0,0.0
81.0,492.0,40.0,29.0,,29.0,45.0,36.0,224.0,4.0,0.0
81.0,28.0,60.0,59.0,85.0,79.0,,36.0,424.0,4.0,0.0
81.0,39.0,60.0,79.0,105.0,59.0,85.0,36.0,424.0,4.0,0.0
81.0,35.0,60.0,69.0,95.0,69.0,95.0,36.0,424.0,4.0,0.0
81.0,112.0,70.0,94.0,50.0,94.0,50.0,66.0,424.0,4.0,0.0
81.0,112.0,30.0,30.0,42.0,30.0,42.0,70.0,,4.0,0.0
81.0,112.0,70.0,80.0,102.0,80.0,102.0,,,4.0,0.0
62.0,492.0,60.0,45.0,70.0,45.0,90.0,95.0,,,0.0
134.0,492.0,55.0,65.0,,60.0,30.0,85.0,330.0,4.0,0.0
134.0,492.0,85.0,105.0,55.0,85.0,50.0,115.0,495.0,4.0,0.0
91.0,492.0,45.0,35.0,45.0,62.0,53.0,35.0,275.0,,0.0
91.0,492.0,,60.0,70.0,87.0,78.0,85.0,450.0,4.0,0.0
134.0,492.0,76.0,48.0,48.0,57.0,62.0,34.0,325.0,4.0,0.0
,39.0,111.0,83.0,68.0,92.0,82.0,39.0,475.0,4.0,0.0
115.0,492.0,75.0,100.0,66.0,60.0,66.0,115.0,482.0,4.0,0.0
,112.0,90.0,50.0,34.0,,44.0,,348.0,4.0,0.0
,112.0,150.0,80.0,44.0,90.0,54.0,80.0,498.0,4.0,0.0
,492.0,55.0,66.0,44.0,44.0,56.0,85.0,350.0,4.0,0.0
115.0,492.0,65.0,76.0,,54.0,96.0,105.0,,,0.0
,,65.0,136.0,94.0,54.0,96.0,135.0,580.0,4.0,0.0
42.0,492.0,60.0,60.0,60.0,105.0,105.0,,,4.0,0.0
46.0,112.0,,125.0,,105.0,52.0,71.0,505.0,4.0,
115.0,492.0,,55.0,42.0,42.0,37.0,85.0,310.0,4.0,0.0
115.0,492.0,71.0,82.0,64.0,64.0,59.0,112.0,452.0,4.0,
81.0,492.0,45.0,30.0,50.0,65.0,50.0,45.0,285.0,4.0,0.0
41.0,27.0,63.0,63.0,47.0,41.0,41.0,74.0,329.0,4.0,0.0
41.0,27.0,103.0,93.0,67.0,71.0,61.0,84.0,479.0,,0.0
36.0,40.0,,24.0,86.0,24.0,86.0,23.0,300.0,4.0,0.0
36.0,40.0,67.0,89.0,116.0,79.0,116.0,33.0,500.0,4.0,0.0
60.0,492.0,,80.0,95.0,10.0,45.0,10.0,290.0,4.0,0.0
81.0,41.0,20.0,25.0,45.0,70.0,,60.0,310.0,,0.0
115.0,492.0,,5.0,5.0,,65.0,30.0,,4.0,0.0
115.0,112.0,76.0,65.0,45.0,,42.0,,411.0,4.0,0.0
42.0,27.0,50.0,,108.0,92.0,,35.0,485.0,4.0,0.0
41.0,39.0,,,,40.0,45.0,42.0,300.0,4.0,0.0
41.0,39.0,68.0,90.0,65.0,50.0,55.0,,410.0,4.0,0.0
41.0,39.0,,130.0,95.0,80.0,85.0,,600.0,4.0,0.0
,,108.0,170.0,115.0,120.0,95.0,,700.0,4.0,0.0
115.0,492.0,135.0,85.0,40.0,40.0,85.0,5.0,390.0,4.0,0.0
,492.0,40.0,,40.0,35.0,40.0,60.0,285.0,,0.0
42.0,35.0,70.0,,70.0,,70.0,,525.0,,0.0
,35.0,70.0,145.0,88.0,140.0,70.0,112.0,625.0,4.0,
41.0,492.0,68.0,72.0,78.0,38.0,42.0,32.0,,4.0,
41.0,492.0,108.0,112.0,118.0,,72.0,47.0,,4.0,0.0
41.0,9.0,40.0,50.0,90.0,30.0,,65.0,330.0,4.0,0.0
41.0,27.0,70.0,90.0,110.0,60.0,75.0,,500.0,4.0,0.0
,32.0,48.0,61.0,40.0,61.0,,50.0,300.0,4.0,0.0
41.0,32.0,83.0,,65.0,86.0,65.0,,490.0,4.0,0.0
91.0,492.0,74.0,100.0,72.0,90.0,72.0,46.0,454.0,,
134.0,492.0,49.0,49.0,56.0,49.0,61.0,66.0,330.0,4.0,0.0
134.0,492.0,69.0,69.0,,69.0,86.0,91.0,460.0,4.0,0.0
134.0,112.0,45.0,20.0,50.0,60.0,120.0,50.0,345.0,,0.0
91.0,20.0,60.0,62.0,50.0,62.0,60.0,40.0,334.0,4.0,0.0
91.0,20.0,90.0,92.0,75.0,92.0,85.0,60.0,494.0,4.0,0.0
91.0,20.0,90.0,132.0,105.0,,105.0,30.0,594.0,4.0,
46.0,,,120.0,65.0,,85.0,125.0,510.0,4.0,
62.0,35.0,70.0,70.0,115.0,130.0,90.0,60.0,535.0,4.0,0.0
115.0,492.0,110.0,85.0,95.0,80.0,,50.0,515.0,4.0,
41.0,15.0,115.0,140.0,130.0,55.0,55.0,,535.0,4.0,0.0
91.0,492.0,100.0,100.0,125.0,110.0,50.0,50.0,535.0,4.0,0.0
62.0,,75.0,123.0,,95.0,85.0,95.0,540.0,,
65.0,,75.0,95.0,67.0,125.0,95.0,83.0,540.0,4.0,0.0
22.0,112.0,85.0,50.0,,120.0,,80.0,545.0,4.0,0.0
81.0,112.0,86.0,76.0,86.0,116.0,56.0,95.0,515.0,4.0,0.0
91.0,492.0,65.0,110.0,130.0,60.0,,95.0,525.0,4.0,0.0
37.0,,,60.0,110.0,130.0,95.0,65.0,525.0,4.0,0.0
41.0,,,95.0,125.0,45.0,,95.0,510.0,4.0,0.0
37.0,39.0,110.0,130.0,80.0,,60.0,80.0,530.0,4.0,0.0
115.0,492.0,85.0,80.0,70.0,135.0,75.0,90.0,535.0,4.0,0.0
81.0,,,125.0,65.0,65.0,,80.0,518.0,4.0,0.0
81.0,32.0,68.0,165.0,95.0,65.0,115.0,110.0,618.0,4.0,0.0
60.0,35.0,60.0,55.0,145.0,75.0,150.0,40.0,,4.0,0.0
42.0,492.0,45.0,100.0,135.0,,135.0,45.0,525.0,4.0,
37.0,26.0,70.0,80.0,70.0,80.0,,110.0,480.0,4.0,0.0
,26.0,50.0,50.0,77.0,95.0,,91.0,440.0,,0.0
,17.0,50.0,65.0,107.0,,107.0,86.0,520.0,4.0,0.0
62.0,20.0,50.0,65.0,107.0,105.0,107.0,86.0,520.0,4.0,0.0
62.0,20.0,50.0,65.0,107.0,105.0,,86.0,,4.0,0.0
62.0,112.0,50.0,65.0,107.0,,107.0,86.0,,4.0,0.0
62.0,28.0,50.0,65.0,107.0,105.0,107.0,86.0,520.0,4.0,0.0
81.0,492.0,,75.0,130.0,75.0,130.0,95.0,580.0,4.0,1.0
81.0,492.0,80.0,105.0,105.0,105.0,,,580.0,4.0,1.0
81.0,492.0,75.0,,70.0,125.0,70.0,115.0,580.0,,1.0
,32.0,100.0,120.0,120.0,150.0,100.0,,680.0,4.0,1.0
134.0,32.0,90.0,120.0,100.0,150.0,120.0,100.0,680.0,4.0,1.0
65.0,35.0,91.0,90.0,106.0,,106.0,77.0,600.0,4.0,
,492.0,110.0,,110.0,80.0,110.0,100.0,670.0,4.0,1.0
42.0,32.0,150.0,100.0,120.0,,120.0,90.0,,4.0,1.0
42.0,32.0,150.0,120.0,100.0,120.0,100.0,90.0,680.0,4.0,1.0
81.0,,120.0,70.0,120.0,75.0,130.0,85.0,,4.0,1.0
134.0,492.0,80.0,80.0,80.0,80.0,80.0,80.0,480.0,4.0,1.0
134.0,,100.0,100.0,100.0,100.0,100.0,100.0,600.0,4.0,1.0
,492.0,70.0,90.0,90.0,135.0,90.0,125.0,,4.0,1.0
91.0,492.0,100.0,100.0,100.0,,100.0,100.0,600.0,4.0,1.0
91.0,112.0,100.0,103.0,75.0,120.0,75.0,127.0,600.0,4.0,1.0
115.0,492.0,120.0,120.0,120.0,120.0,120.0,120.0,720.0,4.0,1.0
,17.0,100.0,100.0,100.0,100.0,100.0,100.0,600.0,5.0,1.0
91.0,492.0,45.0,,,45.0,55.0,63.0,308.0,5.0,
91.0,,60.0,60.0,75.0,60.0,,83.0,413.0,5.0,0.0
,,75.0,75.0,95.0,75.0,,113.0,528.0,5.0,0.0
65.0,492.0,65.0,63.0,45.0,45.0,45.0,45.0,308.0,5.0,0.0
65.0,32.0,90.0,93.0,55.0,70.0,55.0,55.0,418.0,,0.0
65.0,,110.0,123.0,65.0,100.0,65.0,65.0,528.0,5.0,
134.0,,55.0,55.0,45.0,63.0,45.0,45.0,308.0,5.0,0.0
134.0,492.0,75.0,75.0,60.0,83.0,60.0,60.0,413.0,5.0,
134.0,492.0,95.0,100.0,,108.0,70.0,,,5.0,0.0
115.0,492.0,,,39.0,35.0,39.0,42.0,255.0,5.0,0.0
115.0,492.0,60.0,85.0,69.0,60.0,69.0,77.0,420.0,5.0,0.0
115.0,492.0,45.0,60.0,45.0,25.0,45.0,55.0,275.0,5.0,0.0
115.0,492.0,65.0,80.0,65.0,35.0,65.0,,370.0,5.0,0.0
115.0,492.0,85.0,110.0,90.0,45.0,90.0,,500.0,5.0,0.0
46.0,492.0,41.0,50.0,37.0,50.0,37.0,66.0,281.0,5.0,0.0
46.0,492.0,64.0,88.0,50.0,88.0,50.0,106.0,446.0,5.0,0.0
91.0,492.0,50.0,,,,48.0,64.0,316.0,5.0,0.0
91.0,,75.0,98.0,63.0,,63.0,101.0,498.0,5.0,0.0
65.0,492.0,50.0,53.0,,53.0,48.0,64.0,316.0,5.0,0.0
65.0,492.0,75.0,98.0,63.0,,63.0,101.0,498.0,5.0,0.0
134.0,492.0,,,48.0,53.0,48.0,64.0,316.0,5.0,0.0
134.0,492.0,75.0,98.0,63.0,98.0,63.0,101.0,498.0,5.0,0.0
81.0,492.0,76.0,25.0,,,55.0,24.0,292.0,5.0,0.0
81.0,492.0,116.0,,,107.0,95.0,29.0,487.0,5.0,0.0
115.0,112.0,50.0,55.0,50.0,36.0,30.0,43.0,264.0,,0.0
115.0,112.0,,77.0,62.0,50.0,,65.0,358.0,5.0,0.0
115.0,112.0,80.0,115.0,,65.0,55.0,93.0,488.0,5.0,0.0
62.0,492.0,45.0,,,50.0,32.0,,295.0,5.0,0.0
62.0,,75.0,100.0,63.0,80.0,63.0,116.0,497.0,5.0,0.0
60.0,492.0,55.0,75.0,,,25.0,15.0,280.0,,0.0
60.0,,70.0,105.0,105.0,50.0,,20.0,390.0,,0.0
60.0,492.0,85.0,135.0,130.0,60.0,80.0,,515.0,5.0,0.0
81.0,112.0,65.0,45.0,43.0,55.0,43.0,72.0,323.0,5.0,0.0
81.0,,67.0,57.0,55.0,,55.0,114.0,425.0,5.0,0.0
41.0,492.0,60.0,85.0,40.0,30.0,,,328.0,5.0,0.0
41.0,35.0,110.0,135.0,60.0,50.0,65.0,88.0,,,0.0
115.0,492.0,103.0,60.0,,60.0,,50.0,445.0,5.0,0.0
115.0,,103.0,60.0,126.0,80.0,126.0,50.0,545.0,5.0,0.0
42.0,492.0,75.0,80.0,55.0,,35.0,35.0,305.0,,0.0
42.0,492.0,85.0,105.0,85.0,40.0,50.0,40.0,405.0,5.0,0.0
42.0,492.0,105.0,140.0,95.0,55.0,65.0,45.0,505.0,5.0,0.0
134.0,492.0,50.0,50.0,40.0,50.0,,64.0,294.0,5.0,0.0
134.0,39.0,75.0,65.0,,65.0,55.0,69.0,384.0,,0.0
134.0,39.0,105.0,95.0,75.0,85.0,75.0,74.0,509.0,,0.0
42.0,492.0,120.0,100.0,,30.0,85.0,45.0,465.0,5.0,0.0
42.0,492.0,75.0,125.0,75.0,30.0,75.0,85.0,465.0,5.0,
,28.0,45.0,53.0,70.0,40.0,60.0,42.0,310.0,5.0,0.0
81.0,28.0,55.0,63.0,90.0,50.0,80.0,42.0,,5.0,0.0
81.0,28.0,75.0,103.0,80.0,70.0,80.0,92.0,500.0,,0.0
81.0,38.0,30.0,45.0,59.0,30.0,39.0,,260.0,,0.0
81.0,38.0,40.0,,,40.0,79.0,47.0,360.0,5.0,0.0
81.0,38.0,60.0,100.0,89.0,55.0,69.0,112.0,485.0,5.0,0.0
91.0,41.0,40.0,27.0,60.0,,50.0,66.0,280.0,5.0,0.0
91.0,41.0,60.0,67.0,85.0,77.0,75.0,116.0,480.0,5.0,0.0
91.0,492.0,45.0,35.0,50.0,70.0,50.0,30.0,280.0,5.0,0.0
91.0,492.0,70.0,60.0,75.0,110.0,75.0,90.0,480.0,5.0,0.0
134.0,492.0,70.0,92.0,65.0,80.0,55.0,98.0,460.0,5.0,0.0
,,,92.0,65.0,,55.0,98.0,460.0,,0.0
41.0,27.0,50.0,72.0,35.0,35.0,35.0,65.0,292.0,,0.0
41.0,27.0,60.0,82.0,45.0,45.0,,74.0,351.0,5.0,0.0
41.0,27.0,95.0,117.0,80.0,65.0,,,519.0,5.0,0.0
65.0,492.0,70.0,90.0,45.0,15.0,45.0,50.0,315.0,5.0,0.0
37.0,492.0,70.0,90.0,45.0,15.0,45.0,50.0,315.0,5.0,0.0
65.0,492.0,105.0,140.0,55.0,,55.0,95.0,480.0,,0.0
65.0,40.0,105.0,30.0,105.0,140.0,105.0,,540.0,5.0,0.0
37.0,492.0,105.0,140.0,55.0,30.0,55.0,95.0,480.0,5.0,0.0
37.0,17.0,105.0,160.0,55.0,30.0,55.0,135.0,540.0,5.0,0.0
91.0,,75.0,86.0,67.0,106.0,,60.0,461.0,5.0,0.0
,15.0,50.0,65.0,85.0,35.0,35.0,55.0,325.0,5.0,0.0
81.0,15.0,70.0,105.0,,65.0,75.0,45.0,485.0,5.0,0.0
46.0,32.0,50.0,75.0,70.0,35.0,70.0,48.0,348.0,5.0,0.0
,32.0,65.0,90.0,115.0,45.0,115.0,58.0,,5.0,0.0
81.0,112.0,72.0,58.0,80.0,103.0,,97.0,,5.0,0.0
42.0,492.0,38.0,30.0,85.0,55.0,65.0,30.0,303.0,5.0,0.0
41.0,26.0,38.0,55.0,,30.0,65.0,30.0,303.0,5.0,0.0
42.0,492.0,,50.0,145.0,95.0,,30.0,483.0,5.0,0.0
134.0,15.0,54.0,78.0,103.0,53.0,45.0,22.0,355.0,5.0,0.0
134.0,15.0,74.0,108.0,,,,32.0,495.0,5.0,0.0
60.0,,55.0,112.0,45.0,74.0,45.0,70.0,401.0,5.0,0.0
60.0,112.0,75.0,140.0,65.0,,,110.0,567.0,5.0,0.0
,492.0,50.0,50.0,62.0,40.0,62.0,65.0,329.0,,0.0
41.0,492.0,,95.0,82.0,60.0,82.0,75.0,474.0,5.0,0.0
46.0,492.0,40.0,65.0,40.0,80.0,40.0,65.0,330.0,5.0,0.0
46.0,492.0,60.0,105.0,,120.0,60.0,105.0,510.0,5.0,0.0
115.0,492.0,55.0,50.0,,40.0,40.0,75.0,300.0,5.0,
115.0,492.0,75.0,95.0,60.0,65.0,60.0,115.0,470.0,5.0,0.0
81.0,492.0,45.0,,50.0,55.0,65.0,45.0,290.0,5.0,0.0
81.0,492.0,60.0,,70.0,75.0,85.0,55.0,390.0,5.0,0.0
81.0,492.0,70.0,55.0,95.0,95.0,110.0,,490.0,5.0,0.0
81.0,492.0,45.0,30.0,40.0,105.0,50.0,20.0,290.0,5.0,
81.0,492.0,65.0,40.0,50.0,125.0,60.0,30.0,370.0,5.0,0.0
81.0,492.0,110.0,65.0,,125.0,85.0,,490.0,5.0,0.0
134.0,112.0,62.0,44.0,50.0,44.0,50.0,55.0,305.0,5.0,0.0
134.0,112.0,75.0,87.0,63.0,87.0,63.0,98.0,473.0,5.0,0.0
,492.0,36.0,50.0,50.0,65.0,,44.0,305.0,5.0,0.0
37.0,,51.0,65.0,65.0,80.0,75.0,59.0,395.0,5.0,
37.0,492.0,,95.0,85.0,110.0,95.0,79.0,535.0,5.0,0.0
115.0,28.0,60.0,60.0,50.0,40.0,50.0,75.0,335.0,,
115.0,28.0,80.0,,70.0,60.0,70.0,95.0,475.0,5.0,0.0
